Metric,Spread,Perc
Information Quality,0,0.13
Information Quality,1,0.52
Information Quality,2,0.3
Information Quality,3,0.05
Information Quality,4,0.0
Empathy,0,0.27
Empathy,1,0.6
Empathy,2,0.12
Empathy,3,0.01
Empathy,4,0.0
Actionability,0,0.7
Actionability,1,0.3
Actionability,2,0.0
Actionability,3,0.0
Actionability,4,0.0
